DB_VERSION:20260914,,,
111108,正常使用,正式,
111112,消耗，请核查,消耗,
111139,取消编码，请核查,禁用,
111177,正常使用,正式,
111209,禁用，请核查,正式,
111211,正常使用,正式,
111215,正常使用,正式,
111327,取消编码，请核查,禁用,
111332,取消编码，请核查,禁用,
111351,取消编码，请核查,禁用,
111468,取消编码，请核查,禁用,
111514,正常使用,正式,
111517,正常使用,正式,
111538,正常使用,正式,
111560,取消编码，请核查,禁用,
111568,取消编码，请核查,禁用,
111608,正常使用,正式,
111642,正常使用,正式,
111913,正常使用,正式,
111968,取消编码，请核查,禁用,
113128,正常使用,正式,
113411,正常使用,正式,
113427,取消编码，请核查,禁用,
113456,正常使用,正式,
113462,禁用，请核查,临时,
113484,正常使用,正式,
113510,取消编码，请核查,禁用,
113533,禁用，请核查,消耗,
113670,正常使用,正式,
114514,正常使用,正式,
141109,正常使用,正式,
141323,正常使用,正式,
141337,正常使用,正式,
141369,正常使用,正式,
141451,正常使用,正式,
141463,正常使用,正式,
141504,正常使用,正式,
141505,正常使用,正式,
141545,正常使用,正式,
143223,正常使用,正式,
143224,正常使用,正式,
143246,正常使用,正式,
143256,正常使用,正式,
143259,正常使用,正式,
143284,正常使用,正式,
143286,正常使用,正式,
221917,正常使用,正式,
221949,正常使用,临时,
222134,正常使用,正式,
241104,正常使用,正式,
241312,正常使用,正式,
241574,取消编码，请核查,禁用,
241602,取消编码，请核查,禁用,
245105,正常使用,正式,
245107,正常使用,正式,
245216,正常使用,正式,
245242,消耗，请核查,消耗,
245252,正常使用,正式,
245259,正常使用,正式,
245261,正常使用,正式,
245274,消耗，请核查,消耗,
245342,取消编码，请核查,禁用,
245345,取消编码，请核查,禁用,
245368,正常使用,正式,
245396,正常使用,正式,
245519,取消编码，请核查,禁用,
249812,正常使用,正式,
249839,正常使用,正式,
322118,正常使用,正式,
322181,正常使用,正式,
322195,正常使用,正式,
322220,正常使用,正式,
322473,正常使用,正式,
322477,正常使用,正式,
322507,正常使用,正式,
322517,正常使用,临时,
322529,正常使用,正式,
322908,正常使用,正式,
322920,正常使用,正式,
322923,正常使用,正式,
322926,正常使用,正式,
322937,正常使用,正式,
322938,正常使用,正式,
322940,正常使用,正式,
322941,正常使用,正式,
322947,取消编码，请核查,禁用,
322948,正常使用,正式,
322949,正常使用,正式,
322953,正常使用,正式,
322983,正常使用,正式,
325855,正常使用,正式,
325877,正常使用,临时,
325879,正常使用,临时,
326618,正常使用,正式,
326629,正常使用,正式,
326648,正常使用,正式,
326661,正常使用,正式,
326662,正常使用,正式,
326663,正常使用,正式,
326664,正常使用,正式,
326665,正常使用,正式,
326666,正常使用,正式,
326667,正常使用,正式,
326668,正常使用,正式,
326669,正常使用,正式,
326670,正常使用,正式,
326671,正常使用,正式,
326672,正常使用,正式,
326722,正常使用,正式,
326723,正常使用,正式,
326724,正常使用,正式,
326725,正常使用,正式,
326726,正常使用,正式,
326727,正常使用,正式,
326728,正常使用,正式,
326732,正常使用,正式,
326754,正常使用,正式,
326755,正常使用,正式,
326756,正常使用,正式,
326757,正常使用,正式,
326758,正常使用,正式,
326761,正常使用,正式,
326762,正常使用,正式,
326763,正常使用,正式,
326764,正常使用,正式,
326765,正常使用,正式,
326768,正常使用,正式,
326773,正常使用,正式,
326786,正常使用,正式,
326788,正常使用,正式,
326790,取消编码，请核查,禁用,
326809,正常使用,临时,
326810,正常使用,临时,
326811,正常使用,临时,
326812,正常使用,临时,
326813,正常使用,临时,
326814,正常使用,临时,
326815,正常使用,临时,
326816,正常使用,临时,
